group,m,harmonic,alg,mean,std,n
CORRENTES,62,20,OMP,0.6361246814340654,0.4125517738620338,30
CORRENTES,62,20,CoSaMP,0.6386188343366805,0.40848002780590714,30
CORRENTES,62,20,BP,1.0671134722598243,1.2142644559736466,30
CORRENTES,62,21,OMP,0.7351979947731426,0.1708103790951893,30
CORRENTES,62,21,CoSaMP,0.7388610596493732,0.17022333571797194,30
CORRENTES,62,21,BP,0.5379783401091924,0.3785998885898758,30
CORRENTES,62,22,OMP,0.581446223460512,0.2815868311306219,30
CORRENTES,62,22,CoSaMP,0.585425838042083,0.28181316270274637,30
CORRENTES,62,22,BP,0.9384642241004199,1.7768655381511802,30
CORRENTES,62,23,OMP,0.6914903605610792,0.23865096224772814,30
CORRENTES,62,23,CoSaMP,0.6948743447489112,0.2370767691315219,30
CORRENTES,62,23,BP,1.085086288420379,1.3234708520683818,30
CORRENTES,62,24,OMP,0.6148065764127131,0.23047290235156923,30
CORRENTES,62,24,CoSaMP,0.6202567511793282,0.2299762192481977,30
CORRENTES,62,24,BP,0.8975781101242097,1.4087075129896605,30
CORRENTES,62,25,OMP,0.6453341560387147,0.25707975277573003,30
CORRENTES,62,25,CoSaMP,0.6480507970585196,0.25752354321659676,30
CORRENTES,62,25,BP,0.7523713397030647,0.6826581879693532,30
CORRENTES,62,26,OMP,0.7011904970063912,0.2399743825647238,30
CORRENTES,62,26,CoSaMP,0.7030884796982461,0.23863042974535842,30
CORRENTES,62,26,BP,0.5752292800239504,0.4375907056229961,30
CORRENTES,62,27,OMP,0.6960515317389306,0.25214898406944314,30
CORRENTES,62,27,CoSaMP,0.6987840022576486,0.2512869652659243,30
CORRENTES,62,27,BP,0.6284349406837783,0.29056707724304465,30
CORRENTES,62,28,OMP,0.7660813063944041,0.18597368782335963,30
CORRENTES,62,28,CoSaMP,0.7685563131127991,0.18609888995090199,30
CORRENTES,62,28,BP,0.7240443202453999,0.19194857864839143,30
CORRENTES,62,29,OMP,0.894849577899788,0.41788401865295394,30
